OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down, 0, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.01420958898961544" 
0, mujets, down, 1, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.033788241446018219" 
0, mujets, down, 0, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.016894120723009109" 
0, mujets, down, 1, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.037239674478769302" 
0, mujets, down, 0, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.018619837239384651" 
0, mujets, down, 1, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.038729492574930191" 
0, mujets, down, 0, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.019364746287465096" 
0, mujets, down, 1, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.050653718411922455" 
0, mujets, down, 0, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.025326859205961227" 
0, mujets, down, 1, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.062554709613323212" 
0, mujets, down, 0, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.031277354806661606" 
0, mujets, down, 1, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.098430901765823364" 
0, mujets, down, 0, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.049215450882911682" 
0, mujets, down, 1, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.12087488919496536" 
0, mujets, down, 0, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.060437444597482681" 
0, mujets, down, 1, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.10713228583335876" 
0, mujets, down, 0, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.053566142916679382" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0028415480628609657" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0014207740314304829" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0016791056841611862" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00083955284208059311" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0014863512478768826" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00074317562393844128" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0061524375341832638" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0030762187670916319" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0066042267717421055" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0033021133858710527" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0047496496699750423" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0023748248349875212" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0044901436194777489" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0022450718097388744" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0036301338113844395" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0018150669056922197" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.005228804424405098" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.002614402212202549" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0040557202883064747" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0020278601441532373" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.004142428282648325" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0020712141413241625" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0099443979561328888" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0049721989780664444" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.013077743351459503" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0065388716757297516" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0076855109073221684" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0038427554536610842" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00077542621875181794" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00038771310937590897" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.014031687751412392" 
