OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down, 0, -2.4, 2.4, 70, 80, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.014554699882864952" 
0, mujets, down, 1, -2.4, 2.4, 80, 100, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.035348601639270782" 
0, mujets, down, 0, -2.4, 2.4, 80, 100, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.017674300819635391" 
0, mujets, down, 1, -2.4, 2.4, 100, 120, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.040721800178289413" 
0, mujets, down, 0, -2.4, 2.4, 100, 120, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.020360900089144707" 
0, mujets, down, 1, -2.4, 2.4, 120, 160, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.028668399900197983" 
0, mujets, down, 0, -2.4, 2.4, 120, 160, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.014334199950098991" 
0, mujets, down, 1, -2.4, 2.4, 160, 210, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.029754199087619781" 
0, mujets, down, 0, -2.4, 2.4, 160, 210, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.014877099543809891" 
0, mujets, down, 1, -2.4, 2.4, 210, 260, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.031587198376655579" 
0, mujets, down, 0, -2.4, 2.4, 210, 260, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.015793599188327789" 
0, mujets, down, 1, -2.4, 2.4, 260, 320, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.035299200564622879" 
0, mujets, down, 0, -2.4, 2.4, 260, 320, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.01764960028231144" 
0, mujets, down, 1, -2.4, 2.4, 320, 400, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.041831199079751968" 
0, mujets, down, 0, -2.4, 2.4, 320, 400, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.020915599539875984" 
0, mujets, down, 1, -2.4, 2.4, 400, 500, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.055705800652503967" 
0, mujets, down, 0, -2.4, 2.4, 400, 500, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.027852900326251984" 
0, mujets, down, 1, -2.4, 2.4, 500, 600, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.069375403225421906" 
0, mujets, down, 0, -2.4, 2.4, 500, 600, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.034687701612710953" 
0, mujets, down, 1, -2.4, 2.4, 600, 800, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.070020198822021484" 
